Date,AXISBANK,SBIN,ICICIBANK,BAJFINANCE,ASIANPAINT,BHARTIARTL,KOTAKBANK,HDFC,HINDUNILVR
2017-01-02,447.75,243.6,251.95,870.05,904.65,311.0,714.8,1217.1,825.35
2017-01-03,455.25,244.9,254.4,884.0,896.6,304.45,711.75,1214.0,829.85
2017-01-04,453.1,242.9,251.1,871.9,906.6,313.9,695.6,1212.1,821.6
2017-01-05,458.05,245.35,257.25,899.75,916.5,321.1,698.95,1217.2,833.15
2017-01-06,455.2,245.9,258.15,878.45,929.5,319.75,716.85,1222.35,833.75
2017-01-09,452.75,247.05,258.7,878.25,910.1,317.95,709.25,1223.55,831.05
2017-01-10,447.35,248.3,260.2,899.75,923.6,320.1,712.65,1217.25,830.55
2017-01-11,453.6,252.15,264.7,896.15,934.65,322.75,728.4,1230.05,841.5
2017-01-12,455.2,251.25,268.35,891.2,933.55,321.8,727.95,1221.1,825.9
2017-01-13,472.8,250.9,268.05,900.05,933.25,320.2,727.75,1247.5,827.95
2017-01-16,477.25,255.75,269.3,917.7,935.25,318.6,731.2,1256.9,827.5
2017-01-17,487.2,256.0,268.4,914.35,960.15,318.5,726.0,1245.8,840.65
2017-01-18,488.5,258.35,268.45,930.35,963.35,313.9,731.1,1249.05,864.95
2017-01-19,483.8,258.4,269.7,926.3,962.7,317.1,728.2,1242.4,860.3
2017-01-20,450.75,251.05,263.45,907.7,967.2,320.55,723.05,1237.3,860.45
2017-01-23,445.0,254.15,257.55,929.65,964.7,319.65,732.75,1259.75,862.4
2017-01-24,451.25,254.9,257.15,929.75,973.45,316.5,743.35,1280.75,860.35
2017-01-25,463.55,259.2,259.95,999.85,977.7,311.35,795.2,1337.4,869.2
2017-01-27,472.85,266.45,272.0,995.85,969.6,323.75,785.05,1373.7,855.95
2017-01-30,471.9,263.95,270.8,1054.8,973.2,345.65,775.6,1371.9,853.55
2017-01-31,466.0,260.35,268.95,1036.9,970.7,348.2,774.15,1365.85,855.4
2017-02-01,475.65,270.7,281.0,1066.15,991.0,345.1,777.05,1412.1,854.05
2017-02-02,482.55,273.3,285.8,1054.15,989.0,353.3,770.4,1401.3,845.3
2017-02-03,490.7,277.55,281.55,1047.35,985.9,353.8,765.3,1397.45,849.75
2017-02-06,498.3,277.05,290.3,1073.7,992.5,355.25,766.7,1400.3,860.55
2017-02-07,493.4,277.9,288.1,1060.95,999.3,353.15,773.35,1407.25,855.25
2017-02-08,487.6,277.2,285.8,1049.45,997.7,352.2,767.6,1401.1,852.95
2017-02-09,485.25,275.85,285.0,1040.85,1002.85,355.25,769.65,1396.9,850.75
2017-02-10,488.9,276.35,281.6,1055.45,993.05,357.55,778.9,1388.55,850.9
2017-02-13,490.3,271.65,281.65,1058.95,984.75,358.05,793.15,1392.05,862.3
2017-02-14,486.9,270.2,284.65,1059.5,980.8,368.95,790.3,1398.15,848.15
2017-02-15,488.2,268.95,280.75,1040.4,981.7,365.3,784.3,1399.15,850.05
2017-02-16,493.15,270.5,278.8,1094.35,969.9,365.7,792.5,1393.55,846.1
2017-02-17,489.1,269.35,283.0,1089.5,960.8,369.5,796.5,1402.5,841.25
2017-02-20,481.05,269.65,282.35,1095.9,975.75,375.35,797.05,1393.3,854.45
2017-02-21,504.35,270.7,284.8,1095.9,991.5,362.85,797.9,1412.45,862.75
2017-02-22,525.3,272.3,286.15,1076.25,1020.3,361.0,795.85,1394.1,864.15
2017-02-23,528.15,270.45,284.5,1068.2,1009.0,366.25,810.95,1385.7,858.25
2017-02-27,508.95,268.25,278.85,1091.6,1001.95,355.7,800.5,1375.7,866.45
2017-02-28,506.65,269.2,276.35,1108.2,1024.2,365.15,802.1,1370.05,865.9
2017-03-01,513.4,271.75,279.1,1075.85,1032.75,362.75,824.15,1400.55,875.5
2017-03-02,506.3,267.3,278.65,1048.75,1028.75,356.85,816.15,1399.0,877.5
2017-03-03,512.9,265.05,275.95,1046.25,1013.7,356.15,809.5,1371.2,877.15
2017-03-06,518.65,269.85,276.75,1033.95,1029.4,361.5,818.95,1365.95,873.1
2017-03-07,511.8,267.8,276.0,1052.4,1023.95,361.1,817.0,1365.4,872.05
2017-03-08,510.15,269.9,274.4,1081.2,1022.55,360.7,824.9,1367.7,871.3
2017-03-09,516.4,273.25,273.5,1087.2,1031.1,360.2,825.45,1371.5,870.3
2017-03-10,515.9,272.05,270.55,1094.5,1030.25,364.9,828.9,1373.8,875.2
2017-03-14,510.9,274.65,287.25,1126.7,1071.4,361.1,836.15,1424.15,913.75
2017-03-15,511.7,277.35,285.15,1134.55,1064.05,363.2,844.15,1426.1,900.5
2017-03-16,513.65,279.3,284.5,1163.5,1087.55,360.65,851.4,1450.25,906.2
2017-03-17,517.15,274.15,280.6,1159.3,1079.45,346.85,848.25,1451.2,902.55
2017-03-20,502.85,273.9,275.05,1172.55,1079.7,349.4,854.6,1457.75,898.45
2017-03-21,488.3,272.35,272.05,1174.55,1068.7,349.9,859.55,1458.4,903.45
2017-03-22,485.45,267.5,265.0,1159.7,1057.85,338.2,862.2,1442.3,904.95
2017-03-23,488.25,268.5,266.95,1185.75,1061.6,338.5,868.15,1456.65,902.0
2017-03-24,489.35,276.5,274.75,1177.05,1064.25,340.5,879.35,1462.6,900.2
2017-03-27,487.15,279.45,273.15,1185.0,1042.9,338.7,871.15,1474.7,898.8
2017-03-28,502.8,282.1,277.0,1194.75,1057.85,340.75,859.45,1504.1,903.1
2017-03-29,504.2,288.45,282.2,1180.75,1068.1,344.85,857.6,1522.05,912.55
2017-03-30,499.25,291.05,281.35,1181.05,1070.1,351.2,865.15,1519.95,919.2
2017-03-31,490.8,293.4,276.85,1171.1,1073.5,350.05,872.2,1502.1,911.75
2017-04-03,500.6,293.15,286.7,1181.75,1089.85,341.8,875.95,1533.65,920.65
2017-04-05,508.3,297.35,284.85,1173.1,1082.55,344.5,889.85,1490.15,935.35
2017-04-06,508.7,292.85,280.85,1198.1,1086.9,341.8,894.35,1482.6,934.65
2017-04-07,504.2,289.45,277.35,1201.6,1082.95,344.7,873.1,1484.75,924.5
2017-04-10,510.75,289.35,277.65,1240.75,1059.2,345.7,877.35,1467.5,925.95
2017-04-11,515.05,294.5,283.65,1255.95,1072.5,350.2,881.05,1476.85,923.7
2017-04-12,506.0,290.15,280.8,1266.2,1070.45,350.8,879.4,1466.65,923.75
2017-04-13,507.55,291.55,282.8,1273.9,1078.3,340.25,879.5,1474.9,923.85
2017-04-17,502.35,289.9,282.4,1259.55,1059.35,341.3,887.6,1479.55,914.05
2017-04-18,499.65,290.3,283.4,1236.05,1040.45,338.8,881.65,1480.05,912.75
2017-04-19,499.5,284.05,280.55,1242.95,1048.9,339.95,875.6,1490.2,908.55
2017-04-20,488.0,284.8,272.75,1252.0,1058.8,342.75,889.15,1517.1,915.7
2017-04-21,486.25,282.2,269.15,1246.95,1065.45,342.8,880.4,1507.45,906.4
2017-04-24,498.65,286.05,268.65,1271.75,1069.95,344.65,895.75,1530.7,904.55
2017-04-25,516.4,286.05,272.5,1341.7,1097.9,353.95,898.0,1548.4,924.0
2017-04-26,517.15,286.45,276.9,1309.7,1104.65,357.55,900.35,1586.0,941.35
2017-04-27,506.6,282.05,274.15,1285.7,1105.35,357.9,916.65,1566.5,947.3
2017-04-28,509.65,289.75,278.5,1276.2,1120.45,355.5,901.95,1537.15,934.95
2017-05-02,505.55,288.3,275.6,1268.6,1112.1,347.6,917.9,1584.75,928.1
2017-05-03,500.85,289.8,272.75,1270.1,1118.9,346.35,916.95,1571.3,934.0
2017-05-04,518.85,299.05,297.8,1296.55,1132.6,346.0,905.45,1564.35,956.7
2017-05-05,504.5,296.0,298.55,1274.25,1146.8,344.75,908.3,1546.85,953.9
2017-05-08,511.2,299.4,302.95,1272.0,1167.35,351.3,907.35,1529.5,954.85
2017-05-09,518.2,296.5,300.6,1286.1,1165.3,345.25,906.85,1523.5,952.05
2017-05-10,526.35,294.45,298.65,1327.0,1158.3,372.75,927.65,1572.0,996.35
2017-05-11,516.9,298.1,300.2,1339.7,1166.45,366.0,936.8,1565.3,978.75
2017-05-12,503.0,297.9,296.55,1314.75,1132.95,365.1,954.65,1549.8,980.2
2017-05-15,500.1,301.4,301.8,1332.95,1148.05,364.15,973.3,1559.5,983.25
2017-05-16,501.5,307.5,302.65,1347.75,1142.85,374.35,959.85,1566.55,1000.4
2017-05-17,502.8,307.65,309.75,1324.8,1154.95,375.95,951.2,1552.5,1009.4
2017-05-18,492.0,302.95,307.95,1314.55,1151.35,370.75,942.85,1537.05,990.25
2017-05-19,501.7,308.0,307.05,1289.15,1123.15,372.75,937.35,1520.6,1008.0
2017-05-22,502.3,294.3,303.85,1242.15,1112.55,372.55,941.25,1519.85,1018.6
2017-05-23,500.6,288.85,306.05,1233.75,1098.9,371.9,940.25,1511.5,1024.8
2017-05-24,499.3,283.15,306.7,1224.35,1091.2,368.35,936.1,1524.85,1038.05
2017-05-25,507.45,290.1,317.7,1258.85,1113.2,370.7,956.5,1539.75,1043.45
2017-05-26,511.45,288.45,321.55,1317.8,1132.45,373.6,965.05,1547.9,1040.95
2017-05-29,507.25,284.0,314.9,1307.45,1146.55,373.1,968.55,1598.85,1072.25
2017-05-30,514.4,288.85,321.4,1321.55,1159.45,370.7,961.95,1579.5,1072.6
2017-05-31,514.05,288.3,326.45,1326.95,1151.2,371.55,966.05,1569.85,1067.0
2017-06-01,509.3,287.45,320.1,1327.35,1160.45,366.9,962.65,1583.75,1095.35
2017-06-02,508.05,287.05,318.15,1361.25,1164.3,373.25,965.25,1604.65,1086.4
2017-06-05,513.65,287.25,319.75,1363.1,1161.55,372.4,967.0,1606.15,1097.75
2017-06-06,510.2,287.3,318.95,1336.65,1153.15,369.0,966.4,1605.75,1091.55
2017-06-07,514.2,290.55,324.7,1343.15,1161.5,372.8,968.65,1599.35,1106.35
2017-06-08,515.75,288.6,320.2,1361.7,1143.3,367.7,978.85,1633.55,1093.5
2017-06-09,513.65,288.55,322.15,1376.85,1155.75,367.8,985.1,1647.2,1095.35
2017-06-12,507.5,284.95,315.75,1364.95,1150.7,365.2,976.7,1647.5,1099.65
2017-06-13,506.45,283.85,314.85,1371.5,1149.7,363.2,974.2,1667.65,1102.75
2017-06-14,509.5,284.2,319.05,1361.0,1149.6,365.5,968.05,1651.1,1113.7
2017-06-15,507.6,284.0,316.75,1405.25,1140.3,365.3,962.6,1636.85,1104.0
2017-06-16,510.45,285.95,316.5,1410.3,1145.4,364.85,982.65,1640.85,1091.8
2017-06-19,520.15,288.85,320.6,1399.85,1154.15,367.5,987.55,1654.2,1095.65
2017-06-20,511.85,290.1,292.45,1409.6,1149.45,366.6,983.05,1631.5,1093.05
2017-06-21,507.75,290.9,291.1,1416.65,1155.4,367.3,991.95,1628.25,1123.45
2017-06-22,508.0,294.5,289.6,1401.8,1162.55,366.2,997.9,1653.8,1094.05
2017-06-23,504.65,288.95,291.85,1400.75,1153.65,366.2,985.2,1651.35,1097.9
2017-06-27,492.85,279.65,287.9,1349.95,1134.15,371.45,974.75,1651.05,1092.1
2017-06-28,492.0,276.4,290.35,1372.35,1109.15,377.2,972.2,1629.0,1090.0
2017-06-29,512.1,272.45,293.25,1376.3,1104.55,382.45,948.35,1632.2,1088.1
2017-06-30,517.35,273.65,290.15,1373.1,1102.95,379.7,955.75,1614.95,1079.6
2017-07-03,517.25,274.85,290.05,1387.15,1120.25,382.05,948.85,1621.65,1097.75
2017-07-04,508.4,273.0,289.5,1379.55,1108.55,379.3,958.8,1640.65,1088.1
2017-07-05,513.9,274.9,292.85,1398.55,1126.65,376.3,959.85,1629.1,1096.7
2017-07-06,509.5,281.0,293.75,1399.3,1132.15,381.3,958.1,1647.9,1092.5
2017-07-07,503.15,280.1,289.7,1391.7,1115.45,385.9,964.7,1629.15,1097.7
2017-07-10,509.95,285.55,291.45,1412.8,1127.75,405.7,968.0,1638.85,1096.25
2017-07-11,506.8,283.55,289.65,1419.2,1131.75,395.45,958.75,1642.75,1106.45
2017-07-12,506.75,287.65,292.35,1443.7,1133.7,397.1,956.65,1639.95,1131.65
2017-07-13,511.9,288.75,297.9,1485.9,1125.5,403.15,962.1,1656.9,1134.7
2017-07-14,512.95,291.6,298.25,1499.4,1117.35,407.0,977.2,1647.7,1139.3
2017-07-17,510.5,293.0,303.5,1538.5,1125.45,408.45,979.7,1652.35,1152.95
2017-07-18,516.55,291.0,303.9,1512.35,1146.6,408.3,977.1,1653.0,1157.85
2017-07-19,520.2,293.3,302.25,1541.85,1155.85,421.25,994.2,1654.85,1154.35
2017-07-20,540.0,290.95,300.6,1595.35,1155.55,419.8,980.0,1651.0,1152.9
2017-07-21,540.8,290.65,302.05,1621.35,1156.1,411.3,999.45,1640.95,1158.65
2017-07-24,534.8,294.55,303.05,1597.4,1155.75,420.05,992.95,1632.25,1159.35
2017-07-25,544.95,296.1,304.15,1627.5,1150.1,427.8,987.95,1632.05,1149.6
2017-07-26,528.85,295.8,310.35,1687.15,1134.0,426.25,986.55,1633.45,1164.55
2017-07-27,524.65,298.35,307.2,1679.35,1148.8,416.05,998.15,1728.2,1171.9
2017-07-28,515.1,299.1,296.15,1701.35,1153.25,413.3,1012.7,1785.35,1153.85
2017-07-31,519.8,312.5,302.6,1703.1,1161.7,418.95,1021.65,1789.25,1155.75
2017-08-01,516.55,309.0,302.6,1716.25,1148.2,417.05,1015.3,1779.1,1173.95
2017-08-02,516.9,307.7,301.85,1707.2,1144.5,415.85,1010.9,1766.4,1168.75
2017-08-03,506.0,300.55,295.7,1701.75,1146.1,424.2,996.4,1736.75,1169.9
2017-08-04,508.1,305.25,296.25,1723.45,1157.3,420.9,996.2,1731.35,1192.1
2017-08-07,505.8,311.2,300.15,1798.15,1149.65,417.45,997.9,1725.4,1186.3
2017-08-08,499.45,303.65,295.5,1779.8,1147.35,417.8,987.7,1719.9,1191.0
2017-08-09,486.95,302.3,290.6,1697.7,1155.55,416.05,992.4,1731.65,1185.35
2017-08-10,485.5,296.7,288.75,1635.6,1151.1,416.25,996.8,1709.8,1170.7
2017-08-11,489.7,280.15,286.95,1695.4,1143.9,414.55,992.2,1695.35,1152.8
2017-08-14,491.75,278.2,291.8,1710.9,1154.0,408.55,982.6,1713.95,1155.7
2017-08-16,499.5,283.1,294.95,1721.35,1141.3,407.75,1000.55,1741.75,1186.35
2017-08-17,497.15,280.85,293.15,1728.75,1134.95,416.35,989.0,1759.25,1177.3
2017-08-18,490.4,278.7,293.15,1704.95,1140.0,421.0,983.55,1735.05,1202.2
2017-08-21,494.8,274.65,293.5,1690.6,1134.45,419.15,969.55,1738.15,1191.45
2017-08-22,499.2,273.9,293.95,1682.9,1129.45,422.1,970.8,1750.4,1199.6
2017-08-23,502.65,279.0,298.6,1779.3,1141.3,431.9,980.1,1765.25,1188.15
2017-08-24,506.85,280.3,297.7,1760.1,1135.6,432.95,972.1,1757.35,1179.7
2017-08-28,510.6,279.35,300.9,1829.95,1155.9,434.4,976.05,1766.45,1199.7
2017-08-29,503.6,277.0,299.5,1773.4,1151.7,428.1,964.4,1727.8,1190.45
2017-08-30,503.9,276.6,300.3,1788.05,1153.35,429.0,971.35,1759.05,1204.3
2017-08-31,500.35,277.75,298.05,1781.9,1168.55,427.7,976.0,1776.9,1219.75
2017-09-01,507.55,277.85,298.3,1799.95,1215.9,422.55,992.55,1759.55,1216.15
2017-09-04,501.75,277.75,297.1,1801.35,1197.05,416.4,978.1,1755.4,1197.15
2017-09-05,503.4,276.55,297.6,1794.4,1206.35,406.5,988.4,1767.3,1205.2
2017-09-06,492.85,274.25,295.35,1858.95,1206.05,402.5,996.15,1775.0,1206.4
2017-09-07,496.6,274.2,292.65,1963.2,1198.65,397.3,993.5,1781.7,1208.75
2017-09-08,494.0,271.8,292.0,1891.2,1203.95,403.5,1007.55,1779.15,1207.55
2017-09-11,493.9,270.95,290.8,1920.45,1238.05,402.95,1006.5,1781.7,1219.9
2017-09-12,496.5,273.45,291.2,1894.4,1256.35,405.2,1021.75,1798.1,1249.8
2017-09-13,499.3,273.4,292.0,1907.15,1254.95,401.65,1020.15,1778.1,1250.95
2017-09-14,519.75,274.2,293.7,1909.9,1246.05,398.9,1007.6,1771.8,1247.85
2017-09-15,516.15,271.5,291.6,1902.75,1245.5,396.0,1005.05,1768.95,1246.0
2017-09-18,524.55,270.4,293.0,1911.65,1255.95,396.65,1017.05,1771.75,1280.05
2017-09-19,520.75,267.8,294.65,1911.8,1253.3,394.8,1034.35,1752.6,1279.3
2017-09-20,519.45,270.05,290.55,1904.9,1237.3,396.85,1023.2,1767.15,1259.35
2017-09-21,512.55,268.5,284.95,1919.5,1229.1,400.1,1029.15,1788.6,1256.7
2017-09-22,505.3,261.85,277.1,1863.15,1213.25,395.35,1021.9,1780.95,1239.2
2017-09-25,501.7,258.75,279.5,1796.0,1196.95,389.75,999.5,1755.05,1247.15
2017-09-26,511.95,258.25,282.75,1840.1,1174.0,387.35,994.0,1741.25,1217.35
2017-09-27,506.3,250.4,276.4,1806.75,1160.0,385.95,979.6,1719.35,1205.9
2017-09-28,511.8,252.55,275.95,1842.85,1130.0,382.05,1005.25,1744.35,1202.8
2017-09-29,509.15,253.85,276.6,1838.05,1131.7,389.45,1002.25,1742.15,1173.9
2017-10-03,509.65,251.3,278.4,1867.8,1148.8,384.65,1006.55,1761.6,1186.35
2017-10-04,505.95,253.2,276.1,1862.65,1154.05,377.15,1029.45,1768.1,1197.5
2017-10-05,501.2,251.6,271.8,1866.2,1153.25,377.7,1032.8,1751.7,1187.65
2017-10-06,503.35,256.75,271.95,1923.6,1157.3,382.3,1039.5,1740.0,1207.3
2017-10-09,505.95,256.85,271.75,1941.3,1158.6,378.95,1049.95,1749.7,1220.25
2017-10-10,514.55,256.95,269.8,1950.8,1163.0,384.6,1055.65,1744.75,1209.2
2017-10-11,515.75,251.75,267.6,1923.55,1160.6,403.55,1043.85,1750.75,1218.05
2017-10-12,525.1,251.2,267.55,1953.15,1158.8,400.25,1057.6,1755.55,1241.0
2017-10-13,529.45,252.1,271.3,1953.05,1174.25,430.9,1082.35,1766.45,1248.6
2017-10-16,520.35,252.05,274.25,1886.3,1171.05,453.3,1082.5,1762.9,1281.3
2017-10-17,513.15,251.15,273.9,1867.1,1197.15,465.95,1078.6,1759.75,1282.15
2017-10-18,464.5,243.75,263.15,1868.5,1179.65,461.95,1095.9,1751.55,1263.95
2017-10-19,460.3,242.75,257.85,1845.9,1178.5,473.75,1077.75,1745.75,1257.7
2017-10-23,449.95,245.95,262.55,1833.75,1174.15,497.35,1061.55,1722.4,1249.95
2017-10-24,451.95,254.45,266.55,1826.05,1222.9,502.05,1065.7,1722.3,1270.05
2017-10-25,473.0,324.9,305.7,1726.35,1201.7,515.75,1010.55,1677.65,1272.45
2017-10-26,484.3,320.5,299.25,1746.75,1191.15,511.3,1018.9,1692.35,1273.7
2017-10-27,485.95,311.05,301.15,1819.0,1184.55,485.3,1029.0,1699.05,1260.15
2017-10-30,484.0,312.0,300.55,1804.3,1182.55,492.9,1028.9,1705.8,1234.2
2017-10-31,523.15,305.8,300.1,1800.6,1180.85,497.2,1025.05,1707.4,1237.45
2017-11-01,535.1,319.85,313.4,1806.75,1175.95,539.1,1024.35,1754.3,1258.0
2017-11-02,532.15,314.35,316.65,1810.2,1178.4,543.2,1019.55,1762.25,1241.5
2017-11-03,540.1,325.0,315.9,1836.95,1172.45,541.25,1015.5,1776.3,1239.5
2017-11-06,534.5,329.0,316.1,1822.0,1162.35,532.55,1009.75,1790.2,1240.6
2017-11-07,527.15,317.2,312.45,1802.55,1141.45,514.35,1013.3,1764.65,1234.2
2017-11-08,544.85,309.55,305.5,1775.7,1172.2,495.3,1011.4,1747.45,1235.3
2017-11-09,540.4,313.7,311.3,1753.0,1195.6,504.25,1005.35,1725.85,1252.9
2017-11-10,544.8,333.55,318.5,1745.0,1178.6,503.45,993.4,1709.5,1290.65
2017-11-13,537.35,331.05,314.25,1728.75,1174.95,498.0,994.7,1670.3,1279.5
2017-11-14,545.65,329.1,314.1,1754.9,1155.05,498.15,999.2,1661.4,1283.9
2017-11-15,542.0,324.95,315.5,1713.8,1181.55,486.75,1011.5,1650.9,1265.0
2017-11-16,542.6,333.4,318.95,1764.25,1179.55,489.9,1017.45,1664.4,1276.5
2017-11-17,542.4,337.5,325.1,1787.35,1171.3,493.5,1023.2,1705.5,1278.15
2017-11-20,545.15,333.0,318.55,1805.25,1166.35,492.65,1040.55,1689.2,1274.5
2017-11-21,546.8,330.65,319.9,1809.75,1160.3,503.25,1029.85,1694.5,1277.35
2017-11-22,540.5,335.3,318.9,1773.95,1174.3,499.1,1026.25,1718.15,1270.45
2017-11-23,544.15,334.95,319.45,1763.65,1159.6,496.35,1022.1,1704.6,1267.5
2017-11-24,545.5,332.4,317.2,1790.0,1159.6,496.8,1030.35,1711.05,1265.95
2017-11-27,559.4,335.65,317.0,1773.25,1156.5,498.0,1036.45,1711.0,1260.3
2017-11-28,562.55,332.0,313.2,1766.4,1171.0,492.0,1029.85,1725.5,1267.85
2017-11-29,549.5,328.9,314.85,1756.3,1153.85,495.75,1026.25,1704.15,1276.15
2017-11-30,535.4,320.35,307.55,1727.05,1146.75,496.45,1000.3,1675.7,1272.45
2017-12-01,533.85,312.75,305.25,1711.6,1133.75,484.15,1005.15,1658.8,1250.5
2017-12-04,534.95,313.6,304.25,1675.95,1121.0,484.3,997.95,1680.4,1268.6
2017-12-05,533.15,319.1,305.25,1707.4,1115.0,490.65,999.85,1679.5,1261.0
2017-12-06,530.5,312.4,299.5,1671.45,1104.35,483.45,999.65,1648.4,1275.6
2017-12-07,534.05,316.4,305.8,1676.3,1144.4,514.7,1001.6,1655.55,1291.95
2017-12-08,542.5,313.1,310.75,1702.25,1135.5,525.15,1009.0,1682.95,1326.65
2017-12-11,545.1,318.4,311.45,1707.8,1125.85,532.7,1008.5,1709.95,1324.05
2017-12-12,538.6,318.45,307.6,1699.25,1117.4,523.85,1000.4,1710.8,1314.65
2017-12-13,535.75,313.3,302.95,1671.8,1116.55,517.35,1014.9,1696.7,1315.05
2017-12-14,541.45,314.0,304.35,1685.85,1123.45,520.3,1024.65,1704.5,1321.6
2017-12-15,547.95,312.25,303.15,1729.6,1118.7,517.95,1030.1,1723.0,1324.55
2017-12-18,548.65,318.9,308.9,1756.85,1137.15,526.25,1023.2,1719.95,1331.75
2017-12-19,553.65,319.8,313.7,1757.75,1137.7,536.6,1021.35,1709.15,1349.7
2017-12-20,554.5,317.5,315.8,1770.4,1135.5,528.9,1012.7,1693.7,1362.65
2017-12-21,548.95,316.75,315.45,1748.05,1137.9,524.1,1010.55,1701.9,1348.45
2017-12-22,553.6,319.85,316.6,1782.45,1138.0,528.55,1010.05,1709.35,1356.5
2017-12-26,555.0,317.15,318.15,1789.5,1150.75,542.95,1016.25,1713.2,1348.1
2017-12-27,554.6,314.85,312.8,1770.95,1149.05,534.65,1014.05,1707.9,1352.45
2017-12-28,546.85,308.4,315.3,1755.15,1144.4,531.35,1004.75,1696.15,1354.5
2017-12-29,563.95,309.9,314.0,1756.7,1158.5,529.65,1010.2,1710.4,1367.85
2018-01-01,565.5,307.1,310.3,1725.65,1143.65,527.9,999.95,1683.75,1344.5
2018-01-02,559.5,303.25,309.7,1724.65,1142.75,516.55,1003.2,1703.25,1338.6
2018-01-03,560.45,302.85,315.0,1715.3,1141.9,518.2,1000.1,1700.8,1350.35
2018-01-04,559.9,308.5,314.7,1754.0,1172.05,523.0,1000.4,1703.2,1352.25
2018-01-05,563.25,306.35,312.9,1814.5,1185.25,540.0,1003.05,1725.2,1356.55
2018-01-08,565.45,305.8,314.15,1836.85,1182.0,516.35,1006.1,1740.95,1368.4
2018-01-09,565.3,304.3,312.6,1819.5,1193.05,509.8,1009.75,1735.05,1361.3
2018-01-10,562.8,301.1,312.0,1802.2,1177.4,506.4,1002.25,1726.45,1365.8
2018-01-11,558.75,302.2,309.5,1780.35,1188.95,514.75,1017.65,1741.35,1378.65
2018-01-12,555.1,302.25,317.7,1770.1,1189.7,509.55,1023.35,1760.95,1374.0
2018-01-15,560.55,302.6,329.3,1738.15,1204.05,504.5,1038.35,1871.2,1367.2
2018-01-16,563.2,296.15,334.1,1687.35,1188.75,497.25,1033.25,1845.95,1382.0
2018-01-17,585.2,307.1,343.25,1701.2,1193.75,499.9,1027.1,1858.35,1371.2
2018-01-18,584.8,303.25,346.15,1660.7,1188.25,495.0,1046.5,1896.8,1356.95
2018-01-19,590.25,309.25,353.6,1701.9,1189.9,497.9,1060.55,1901.25,1362.45
2018-01-22,611.55,306.5,351.5,1706.35,1176.0,490.7,1074.1,1872.0,1355.1
2018-01-23,620.1,318.1,362.3,1708.7,1169.9,492.1,1075.45,1884.65,1368.35
2018-01-24,607.95,329.9,352.75,1739.15,1151.05,459.5,1080.1,1911.2,1365.9
2018-01-25,616.1,313.15,360.8,1710.3,1150.45,452.7,1092.35,1908.3,1372.75
2018-01-29,605.55,312.1,357.65,1715.3,1152.05,440.6,1115.1,1967.6,1397.3
2018-01-30,593.75,313.55,353.25,1678.4,1126.7,440.6,1088.05,1937.5,1400.25
2018-01-31,593.6,313.25,352.95,1677.85,1128.3,439.85,1108.95,1956.3,1369.35
2018-02-01,592.8,306.05,346.2,1729.45,1153.0,438.4,1120.95,1967.55,1371.25
2018-02-02,564.9,297.35,335.1,1628.9,1137.9,422.35,1085.95,1903.85,1372.2
2018-02-05,566.25,298.05,329.7,1604.95,1134.1,440.2,1062.25,1823.35,1355.75
2018-02-06,563.7,291.75,330.7,1662.15,1110.25,439.15,1033.8,1788.6,1325.35
2018-02-07,559.35,292.8,332.55,1641.65,1121.1,430.25,1036.3,1785.35,1312.65
2018-02-08,568.45,301.4,333.85,1662.15,1124.05,429.8,1051.75,1811.8,1329.55
2018-02-09,557.55,296.4,326.75,1639.4,1130.75,422.5,1032.0,1773.05,1333.05
2018-02-12,564.2,288.75,326.25,1643.8,1144.4,424.4,1042.95,1805.45,1344.45
2018-02-14,543.9,276.2,318.95,1669.95,1139.15,434.8,1042.45,1814.0,1349.4
2018-02-15,543.7,278.7,328.65,1677.05,1135.45,428.95,1042.15,1829.5,1358.15
2018-02-16,537.85,271.65,321.05,1675.25,1143.85,419.7,1050.2,1815.5,1352.1
2018-02-19,540.55,268.5,319.75,1642.7,1120.35,414.35,1056.2,1814.05,1335.9
2018-02-20,531.7,269.65,317.25,1638.75,1126.4,418.1,1045.8,1811.75,1331.8
2018-02-21,535.8,273.3,319.2,1596.45,1127.2,419.65,1055.05,1824.8,1330.6
2018-02-22,530.25,272.6,318.35,1600.35,1118.1,416.1,1072.5,1819.25,1326.45
2018-02-23,536.65,276.05,322.75,1633.4,1101.8,425.55,1080.85,1824.2,1323.15
2018-02-26,552.3,274.45,327.05,1674.95,1104.8,423.15,1105.15,1843.25,1333.3
2018-02-27,538.4,267.6,322.15,1656.8,1110.35,430.5,1093.05,1828.65,1346.35
2018-02-28,528.75,268.0,313.25,1640.25,1117.75,428.55,1090.55,1808.7,1317.75
2018-03-01,525.75,262.15,304.95,1659.35,1118.9,427.75,1095.7,1814.15,1324.25
2018-03-05,524.55,263.5,303.35,1636.95,1105.95,421.45,1100.0,1789.6,1299.75
2018-03-06,517.35,256.55,295.05,1637.75,1101.6,413.9,1082.45,1782.8,1293.2
2018-03-07,512.65,246.65,286.7,1618.35,1107.25,403.2,1085.1,1761.75,1293.85
2018-03-08,520.55,256.8,296.95,1628.05,1127.6,401.3,1082.3,1798.75,1293.15
2018-03-09,505.35,253.25,292.7,1654.2,1129.1,402.15,1082.45,1818.6,1300.75
2018-03-12,519.2,252.85,300.65,1665.25,1131.5,421.55,1100.6,1858.05,1324.2
